City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Manado,ID,77.0,scattered clouds,1.49,124.85,
5,Atuona,PF,81.18,light rain,-9.8,-139.03,
6,Georgetown,MY,78.8,scattered clouds,5.41,100.34,
11,Puerto Ayora,EC,86.0,few clouds,-0.74,-90.35,
14,Victoria,HK,81.0,broken clouds,22.29,114.16,
18,Padang,ID,78.53,overcast clouds,-0.95,100.35,
22,Butaritari,KI,83.16,few clouds,3.07,172.79,
26,Eydhafushi,MV,85.01,moderate rain,5.1,73.07,
34,Kapaa,US,75.99,overcast clouds,22.08,-159.32,
35,Touros,BR,84.2,scattered clouds,-5.2,-35.46,
36,Hithadhoo,MV,84.94,moderate rain,-0.6,73.08,
39,Cape Coast,GH,79.97,moderate rain,5.11,-1.25,
47,Rikitea,PF,75.9,clear sky,-23.12,-134.97,
51,San Patricio,MX,82.4,clear sky,19.22,-104.7,
55,Harper,LR,81.61,overcast clouds,4.38,-7.72,
58,Muscat,OM,86.0,clear sky,23.61,58.59,
59,Portland,US,84.0,clear sky,45.52,-122.68,
62,Faanui,PF,81.36,light rain,-16.48,-151.75,
63,Labuhan,ID,79.0,light rain,-6.88,112.21,
66,Bonoua,CI,84.2,few clouds,5.27,-3.6,
67,Florida,US,82.4,broken clouds,28.75,-82.5,
72,Kavieng,PG,83.35,scattered clouds,-2.57,150.8,
73,Parana,AR,84.99,clear sky,-31.73,-60.52,
82,Umm Kaddadah,SD,83.88,clear sky,13.6,26.69,
83,Point Fortin,TT,89.01,scattered clouds,10.18,-61.68,
85,Joao Pessoa,BR,84.2,few clouds,-7.12,-34.86,
87,Farmington,US,78.8,clear sky,36.73,-108.22,
91,Guarapari,BR,75.99,clear sky,-20.67,-40.5,
94,Vila Do Maio,CV,77.0,few clouds,15.13,-23.22,
98,Moron,AR,77.0,clear sky,-34.65,-58.62,
105,Hilo,US,78.8,clear sky,19.73,-155.09,
109,Asyut,EG,78.8,clear sky,27.18,31.18,
120,Aracatuba,BR,76.42,clear sky,-21.21,-50.43,
123,Gorontalo,ID,77.83,overcast clouds,0.54,123.06,
124,Maceio,BR,77.0,broken clouds,-9.67,-35.74,
140,Doka,SD,89.11,broken clouds,13.52,35.77,
142,Santa Clara,CU,77.0,moderate rain,22.4,-79.97,
143,Gerash,IR,82.4,overcast clouds,27.67,54.14,
146,Bathsheba,BB,86.0,scattered clouds,13.22,-59.52,
147,Namatanai,PG,80.65,overcast clouds,-3.67,152.43,
152,Cabo San Lucas,MX,87.8,few clouds,22.89,-109.91,
154,Walvis Bay,,75.88,clear sky,-22.96,14.51,
155,Semporna,MY,78.8,few clouds,4.48,118.61,
161,Ixtapa,MX,84.2,few clouds,20.7,-105.2,
169,Kuching,MY,78.8,few clouds,1.55,110.33,
172,Alofi,NU,80.6,clear sky,-19.06,-169.92,
175,Auki,SB,79.52,light rain,-8.77,160.7,
178,Sampit,ID,75.76,broken clouds,-2.53,112.95,
179,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,
182,Nishihara,JP,77.0,moderate rain,26.18,127.76,
196,San Andres,CO,89.6,few clouds,12.58,-81.7,
204,Banjar,ID,78.8,few clouds,-8.19,114.97,
208,Marawi,PH,79.0,clear sky,8.0,124.29,
209,Port Hedland,AU,75.2,overcast clouds,-20.32,118.57,
211,Colomi,BO,86.0,few clouds,-17.35,-65.87,
212,Colombo,LK,79.74,overcast clouds,6.93,79.85,
214,Cedar City,US,82.4,clear sky,37.68,-113.06,
219,Trinidad,BO,87.8,few clouds,-14.83,-64.9,
221,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,
222,Sinnamary,GF,78.15,moderate rain,5.38,-52.95,
223,Timbiqui,CO,81.45,moderate rain,2.77,-77.67,
226,Lamar,US,75.99,broken clouds,33.67,-95.58,
227,Biak,ID,77.83,light rain,-0.91,122.88,
228,Port Blair,IN,84.13,overcast clouds,11.67,92.75,
232,Puerto Escondido,MX,86.0,clear sky,15.85,-97.07,
237,Kahului,US,78.8,few clouds,20.89,-156.47,
238,Santa Rosa De Viterbo,BR,80.6,clear sky,-21.47,-47.36,
245,Namibe,AO,79.21,clear sky,-15.2,12.15,
246,Belmonte,BR,77.0,few clouds,-15.86,-38.88,
248,Bengkulu,ID,76.26,light rain,-3.8,102.27,
249,Vila Velha,BR,77.0,few clouds,-20.33,-40.29,
255,Ternate,ID,82.6,broken clouds,0.8,127.4,
258,Vilhena,BR,84.2,broken clouds,-12.74,-60.15,
259,San Jose,US,75.99,broken clouds,37.34,-121.89,
267,Shasta Lake,US,82.99,overcast clouds,40.68,-122.37,
274,Pucallpa,PE,89.6,broken clouds,-8.38,-74.55,
278,Matnog,PH,80.94,overcast clouds,12.59,124.09,
283,Fairbanks,US,75.99,clear sky,64.84,-147.72,
294,Winnemucca,US,80.6,clear sky,40.97,-117.74,
299,Wamba,NG,77.18,clear sky,8.93,8.6,
303,Derac,HT,86.0,scattered clouds,19.65,-71.82,
305,Buraydah,SA,84.2,dust,26.33,43.98,
307,Nisia Floresta,BR,84.2,scattered clouds,-6.09,-35.21,
309,Kavaratti,IN,85.39,overcast clouds,10.57,72.64,
310,Kalmunai,LK,82.06,overcast clouds,7.42,81.82,
312,Lorengau,PG,82.98,scattered clouds,-2.02,147.27,
313,Quirinopolis,BR,77.27,clear sky,-18.45,-50.45,
314,Salinopolis,BR,82.53,clear sky,-0.61,-47.36,
319,Butte,US,81.0,clear sky,39.65,-121.57,
320,Palauig,PH,81.81,clear sky,15.44,119.9,
323,Sarh,TD,89.33,clear sky,9.14,18.39,
329,Santo Angelo,BR,82.4,overcast clouds,-28.3,-54.26,
331,Santa Rosa,PH,84.2,scattered clouds,14.31,121.11,
333,Imbituba,BR,75.2,clear sky,-28.24,-48.67,
336,Hays,US,80.01,clear sky,30.05,-98.03,
337,Beira,MZ,75.2,scattered clouds,-19.84,34.84,
342,La Palma,US,78.01,scattered clouds,33.85,-118.05,
344,Sao Felix Do Xingu,BR,80.82,light rain,-6.64,-51.99,
348,Tabuk,PH,75.43,clear sky,17.42,121.44,
349,Tura,IN,77.49,broken clouds,25.52,90.22,
351,Pangai,TO,77.0,scattered clouds,-19.8,-174.35,
357,Yangjiang,CN,78.53,broken clouds,21.85,111.97,
358,Djougou,BJ,75.67,moderate rain,9.71,1.67,
361,Tucurui,BR,83.37,moderate rain,-3.77,-49.67,
365,Puerto Baquerizo Moreno,EC,84.2,few clouds,-0.9,-89.6,
366,Xuddur,SO,77.5,overcast clouds,4.12,43.89,
367,Mayumba,GA,77.09,overcast clouds,-3.43,10.66,
368,Phetchabun,TH,84.4,scattered clouds,16.25,101.08,
370,Kapit,MY,75.56,light rain,2.02,112.93,
372,Martapura,ID,80.6,overcast clouds,-3.42,114.85,
373,Muisne,EC,84.2,broken clouds,0.6,-80.03,
377,Kudahuvadhoo,MV,85.46,moderate rain,2.67,72.89,
378,Sao Joao Da Barra,BR,77.0,clear sky,-21.64,-41.05,
379,Salalah,OM,84.2,scattered clouds,17.02,54.09,
387,Chhoti Sadri,IN,82.99,clear sky,24.38,74.7,
392,Makakilo City,US,80.6,scattered clouds,21.35,-158.09,
397,Barinitas,VE,85.01,overcast clouds,8.76,-70.41,
402,Encarnacion,PY,84.2,broken clouds,-27.33,-55.9,
404,Gazojak,TM,80.87,overcast clouds,41.19,61.4,
408,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,
409,Awjilah,LY,77.27,few clouds,29.11,21.29,
410,Praya,CV,77.0,few clouds,14.92,-23.51,
414,Angicos,BR,84.49,scattered clouds,-5.67,-36.6,
415,La Asuncion,VE,89.6,clear sky,11.03,-63.86,
418,Valle Hermoso,MX,87.8,broken clouds,25.67,-97.83,
419,Mizdah,LY,88.79,few clouds,31.45,12.98,
422,Guaratuba,BR,77.0,few clouds,-25.88,-48.57,
423,Kendari,ID,75.34,overcast clouds,-3.94,122.5,
426,Luganville,VU,77.0,broken clouds,-15.53,167.17,
431,Kieta,PG,80.01,broken clouds,-6.22,155.63,
433,Conde,BR,84.2,few clouds,-7.26,-34.91,
434,Iranshahr,IR,87.8,few clouds,27.2,60.68,
438,Gauribidanur,IN,78.8,few clouds,13.61,77.52,
443,Ilheus,BR,75.36,scattered clouds,-14.79,-39.05,
445,Bonthe,SL,81.09,broken clouds,7.53,-12.51,
446,Celestun,MX,83.19,clear sky,20.87,-90.4,
448,Lamu,KE,77.92,moderate rain,-2.27,40.9,
454,Labrea,BR,86.38,light rain,-7.26,-64.8,
455,Cururupu,BR,82.81,scattered clouds,-1.83,-44.87,
456,Nioro,GM,80.49,few clouds,13.35,-15.75,
458,Port-Gentil,GA,77.0,few clouds,-0.72,8.78,
459,San-Pedro,CI,79.63,moderate rain,4.75,-6.64,
461,Nizwa,OM,83.68,clear sky,22.93,57.53,
462,Tikamgarh,IN,89.51,broken clouds,24.75,78.83,
463,Vanimo,PG,78.98,light rain,-2.67,141.3,
464,Botro,CI,82.4,few clouds,7.85,-5.31,
466,Raga,SS,76.62,light rain,8.46,25.68,
472,Casas Grandes,MX,84.72,broken clouds,30.37,-107.95,
475,Concordia,AR,82.4,clear sky,-31.39,-58.02,
477,Hambantota,LK,81.9,light rain,6.12,81.12,
478,Waingapu,ID,75.74,scattered clouds,-9.66,120.26,
481,Bela,IN,89.42,few clouds,25.93,81.98,
482,Yellapur,IN,76.26,few clouds,14.97,74.72,
483,Bucerias,MX,84.2,few clouds,20.75,-105.33,
485,Samarai,PG,79.54,clear sky,-10.62,150.67,
487,San Vicente,AR,76.64,clear sky,-26.62,-54.13,
488,Barpeta,IN,80.91,clear sky,26.32,91.0,
490,Rio Grande,BR,82.4,broken clouds,-32.03,-52.1,
492,Manavalakurichi,IN,82.4,mist,8.13,77.3,
499,Soyo,AO,79.75,light rain,-6.13,12.37,
502,Olinda,BR,84.2,shower rain,-8.01,-34.86,
507,Narasapur,IN,82.49,clear sky,16.45,81.67,
509,Campbell River,CA,75.2,scattered clouds,50.02,-125.24,
512,Mandali,IQ,75.88,clear sky,33.75,45.55,
517,Amuntai,ID,75.96,overcast clouds,-2.42,115.25,
522,Pombas,CV,75.2,broken clouds,17.15,-25.02,
528,Porto Walter,BR,88.23,overcast clouds,-8.27,-72.74,
531,Les Cayes,HT,83.82,broken clouds,18.2,-73.75,
534,Sabang,ID,82.08,moderate rain,5.89,95.32,
535,Maldonado,UY,78.8,clear sky,-34.67,-54.92,
537,Kiunga,PG,75.22,overcast clouds,-6.12,141.29,
539,Vallenar,CL,79.65,clear sky,-28.57,-70.76,
542,Dwarka,IN,81.41,clear sky,22.24,68.97,
545,Hobyo,SO,84.72,broken clouds,5.35,48.53,
547,Paciran,ID,79.32,light rain,-6.88,112.38,
550,Jalu,LY,77.47,clear sky,29.03,21.55,Jalu Hotel
